,Ticker,Name
0,ASC,ABG Sundal Collier Holding ASA
2,AFG,AF Gruppen ASA
4,AKA,Akastor ASA
5,AKER,Aker ASA
6,AKERBP,Aker BP ASA
7,AKSO,Aker Solutions ASA
8,AKVA,AKVA Group ASA
9,AMSC,American Shipping Company ASA
10,APP,Apptix ASA
12,AQUA,Aqualis ASA
13,ARCHER,Archer Limited
14,ARCUS,Arcus ASA
15,AFK,Arendals Fossekompani ASA
16,ASETEK,Asetek A/S
17,ATEA,Atea ASA
18,ATLA NOK,Atlantic Petroleum P/F
69,GOD,Goodtech ASA
70,GSF,Grieg Seafood ASA
71,GYL,Gyldendal ASA
72,HFISK,Havfisk ASA
73,HAVI,Havila Shipping ASA
74,HYARD,Havyard Group ASA
75,HEX,Hexagon Composites ASA
76,HIDDN,Hiddn Solutions ASA
80,HLNG,Höegh LNG Holdings Ltd
81,IMSK,I.M. Skaugen SE
82,IDEX,IDEX ASA
83,INC,Incus Investor ASA
84,INFRNT,Infront ASA
153,SAS NOK,SAS Group AB
160,SSG,Self Storage Group ASA
161,SBO,Selvaag Bolig ASA
162,SEVAN,Sevan Marine ASA
163,SHLF,"Shelf Drilling, Ltd."
164,SIOFF,Siem Offshore Inc.
165,SBANK,Sbanken ASA
166,SOFF,Solstad Farstad ASA
168,SRBANK,SpareBank 1 SR-Bank ASA
169,SPU,Spectrum ASA
170,SBLK R,Star Bulk Carriers Corp.
